户号,00点(kW),01点(kW),02点(kW),03点(kW),04点(kW),05点(kW),06点(kW),07点(kW),08点(kW),09点(kW),10点(kW),11点(kW),12点(kW),13点(kW),14点(kW),15点(kW),16点(kW),17点(kW),18点(kW),19点(kW),20点(kW),21点(kW),22点(kW),23点(kW)
"1315067170	",956.7,689.1,766.8,1017.6,999.9,868.8,529.5,393.3,1290.6,1176.6,952.5,744.3,580.2,1370.1,1518.9,858.9,849.3,879.3,778.2,728.1,816,664.2,1107.9,1122.3
"1315067214	",2.2,2.2,2.2,2.2,2.4,2.2,2.2,2.2,2,2,2,2,2,2,2,2.2,2.2,2,2.2,2.2,2.2,2.2,2.2,2.2
"1315067271	",6.9,7.1,4.1,3.8,4.6,4.4,4,5.8,16.4,16.2,16.4,13.4,16.3,14.4,15.7,15.2,14.8,4.8,27.1,3.9,6.3,3.9,3.6,3.7
"1315067337	",1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.8,1.8,1.8
"1315067371	",127,127,6.4,11.7,5.3,5.2,84.5,245.6,466.7,467.9,589.6,416.9,497.3,469.9,457.1,538.7,438.9,544.8,289.5,291.3,283.3,245.5,270.8,262.9
"1315067509	",1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
"1315067536	",1.6,1.5,1.5,1.5,1.5,141.1,4.9,2.8,2.6,1.3,1.4,1.4,3.5,1.4,1.4,1.4,1.4,1.4,162.1,6.7,2.8,3.1,3.1,3.1
"1315067617	",26.16,25.08,24.72,29.48,26.4,29.32,30.16,29,26.72,28,25.72,35.2,28.88,27.24,28.84,24.84,39.6,26.44,30.16,38.28,28.52,30.6,30.32,32.68
"1315067695	",12.27,12.32,4.88,6.39,4.91,5.22,7.05,25.89,183.81,103.17,131.22,123.24,37.16,101.6,94.38,108.93,87.38,52.71,41.99,37.26,49.32,43.86,24.33,17.24
"1315067762	",10.32,10.2,9.66,11.46,7.38,11.7,9.84,16.02,218.34,269.4,234.66,222,208.38,226.86,248.16,170.16,118.44,22.62,16.86,13.62,16.98,10.14,10.14,7.68
"1315067796	",327,339.9,252,294.45,247.2,280.2,242.25,12.75,192.75,159.15,256.95,160.8,145.35,145.8,158.4,144.3,158.1,76.95,7.5,11.85,13.65,15,13.05,14.55
"1315067944	",94.2,162.2,115.4,115,128.6,182.2,95.8,49.4,233,242.6,241,221,171.2,221.4,206.6,188.4,203,151.6,133.8,143.2,130,118.2,113.4,99.2
"1315067977	",297.6,300.6,316.5,301.2,297.9,14.7,22.5,263.7,293.55,375.15,363,351.15,266.55,335.55,287.25,281.4,297.3,163.95,18.45,16.05,20.85,27.3,14.85,10.2
"1315068032	",24.3,24,19.05,18.75,19.05,15.15,18.75,32.4,136.05,115.65,148.8,117.15,55.35,106.2,85.2,126.15,154.5,96.15,48.45,71.55,61.5,30.9,40.05,37.05
"1315068056	",28.8,29.6,25.6,32.6,24,31,23.6,38.6,29.4,44.2,48,34.2,25.8,26.4,23.8,20.6,28.2,34.8,28.8,35,27,32.6,28.2,28.4
"1315068057	",233.28,237.36,237.96,91.92,570.78,713.58,526.86,528.66,710.34,316.56,292.08,308.46,255.96,277.08,156.84,267.66,277.32,246.12,237.42,235.86,241.92,29.34,236.28,244.62
"1315068088	",241.2,344.8,342.8,318.4,345.2,291.6,273.6,264.4,305.2,263.2,322.8,235.6,240.8,196,219.6,295.6,294.8,230,246.4,326.8,276.8,238.8,236,248
"1315068088	",82.35,78.3,133.5,133.35,72.75,149.1,94.65,82.8,204,162.45,138.75,199.95,98.85,102.75,88.05,87.3,132.75,120.15,162.45,80.4,99.45,156.9,166.8,157.65
"1315068111	",262.44,246.78,263.46,274.62,265.44,257.7,280.8,370.56,334.86,281.04,333.48,328.02,286.86,270.72,313.44,347.4,321.54,323.4,313.62,270.18,307.32,262.38,271.02,254.16
"1315068114	",45.6,46.2,22.13,18.84,35.88,18.2,33.02,99.44,155.34,182,220.71,173.6,168.44,172.38,146.3,136.41,163.92,56.67,46.37,72.69,58.59,46.02,43.32,35.96
"1315068115	",174,174.6,174.6,163.2,159,178.8,165.6,172.2,201.6,250.8,184.8,193.2,161.4,172.2,196.8,184.2,171.6,186.6,157.2,156,160.8,173.4,164.4,173.4
"1315068126	",240.6,222.6,219,246.6,263.4,231.3,238.2,228.9,367.5,344.7,313.5,361.5,400.5,363.6,365.7,352.2,355.2,275.4,267.9,210.6,234.3,182.1,233.7,241.8
"1315068249	",45.3,33.2,31,27.8,24.7,34.9,29.8,28.6,67.1,74.9,80.2,77.1,42.7,64.3,58.6,58,63.6,81.4,49.7,40.5,38.2,43.7,35.4,32.7
"1315068323	",538.7,554.1,520,559,483.4,506.4,512.1,537.9,501,489.3,393.7,432.1,469.6,448.3,504,529.2,539.5,573,520.1,529,520.9,496.2,496,499.6
"1315068698	",994.4,1003.6,829.6,621.2,525.6,532.4,534.4,498,434.4,498,427.2,386.8,354,391.6,422.8,437.6,385.2,332,382.8,360.4,396.4,391.2,372.4,402
"1315068976	",1059.8,944,1377.4,1193.4,1393,962.8,960.8,854,818,413,375.2,414.8,800.4,551,518.2,590.2,519.2,467,614.6,370.4,524.2,552.4,658,540.6
"1315069071	",392.2,349.6,371.3,387.6,358.5,365,369.9,402.3,473,490.5,480.9,504,463.8,474.7,491.6,520.8,448.8,415.5,138,97.2,84.1,138.8,114.2,100.9
"1315069692	",736,775.2,698.8,688.4,887.2,960.8,712.8,791.6,172,70.8,56.8,59.2,57.2,46.4,50,61.2,64.4,59.6,79.2,58.4,72.8,55.2,60,28.4
"1315069696	",216.6,227.46,268.86,215.52,187.14,258.72,221.76,212.7,192.42,255.66,256.68,299.76,230.46,244.26,207.96,238.8,207.9,248.22,231.84,198.12,121.2,199.68,178.86,185.52
"1315069790	",206.5,206.7,203.3,208.2,213.9,195.4,198.1,184.4,25.3,22.6,23.2,16.5,17.5,22.2,21,17.6,19.3,19.7,23.2,19.6,25.9,24.7,23.4,23.5
"1315070118	",931.35,912.9,904.5,905.1,883.35,862.05,778.05,736.05,10.5,11.85,17.25,8.25,8.55,11.25,2.25,7.65,6.9,2.55,8.85,4.95,6.6,4.05,4.05,3.9
"1315070217	",328.5,278.4,297.9,366.9,294.6,404.4,342.9,469.2,1078.8,1216.5,1006.5,981.6,951.6,1126.8,1045.8,1023,1015.2,1115.1,621.9,696,552.3,584.4,374.7,485.4
"1315070245	",35.7,28.65,28.35,28.2,38.85,28.65,31.35,39.3,52.95,89.1,106.8,85.65,59.55,62.55,47.25,51.45,39.45,25.65,39.45,36.15,25.95,30,19.35,27.75
"1315070246	",191.7,243.3,175.8,213.3,166.8,141.9,189.6,344.1,730.8,839.4,779.1,711,411,689.4,828.9,872.1,768.9,151.5,240.3,126.3,233.7,227.1,188.7,200.4
"1315070381	",44.4,40.5,40.56,43.02,43.26,54.36,76.56,74.82,74.34,51.42,54.42,47.58,64.92,69.3,54.18,46.5,36.96,65.7,70.74,66.6,69.12,88.68,88.62,58.62
"1315070446	",1457.6,1676.4,1596.4,1864.8,1738,1728.8,1461.6,1847.6,1636,1208,1239.2,1118.4,972,851.6,842.8,788.4,800,726,964,1107.2,1020.4,1215.6,996.4,1108.8
"1315070488	",1249,35.6,1357.8,1362,1378.8,1373.4,113.6,1441,127,1426.6,1367,1279.4,1278,118.4,1166.6,1421.4,39.2,42.4,37.6,36.6,34.6,31.6,1309.8,1365.6
"1315070713	",108,112,122.4,115.2,109.6,113.6,120.8,141.6,278.4,448,892.8,307.2,112.8,301.6,609.6,247.2,683.2,185.6,98.4,76,68.8,75.2,80.8,75.2
"1315070718	",22.8,34.65,26.1,25.95,24,38.25,36.6,44.55,550.5,605.25,587.1,173.1,402.75,494.85,501,577.5,467.1,51.15,34.95,40.8,42.45,28.2,25.65,29.7
"1315070737	",97.6,116.8,100.7,108.8,88.8,121.5,126.9,108.7,103,83.6,95,114.8,98.6,80.2,97.1,83.4,95.2,78.2,122.6,104.8,114.5,107.9,99.4,99.4
"1315070755	",45.78,46.98,33.84,34.68,41.04,31.44,140.34,252.9,295.74,376.86,262.56,311.88,298.62,329.34,410.64,357.78,362.94,196.14,191.04,161.76,25.2,33.78,29.28,32.58
"1315070899	",4.6,7.5,12.3,7.5,6.5,7.8,9.5,28.9,365.7,380.4,385,394.8,368.7,271,250.3,230.8,210.6,181.4,8.6,4.1,5.5,3.9,5.7,
"1315070981	",194.7,142.3,136.8,156.9,182.4,164.5,260.9,320.2,419.5,407.5,301.7,432.6,401,297.3,422.5,343.8,322.5,293.2,341.5,340.6,362.4,272.4,223.2,185
"1315071018	",1269.15,1393.2,974.85,1072.5,1470.6,1393.05,1392.6,612.75,453.45,336.15,322.95,98.85,141.45,286.2,318.9,244.5,209.55,46.05,4.2,4.2,4.35,5.4,1178.85,942.45
"1315071227	",1166.4,1104,801.6,1132.5,1068.6,1242.3,1163.7,518.4,865.2,923.7,964.2,865.8,879.3,1072.8,1340.1,1284.9,1147.8,1504.8,1258.2,941.4,868.2,757.2,758.1,1413
"1315071342	",546,516.4,503.2,515.2,498.4,499.2,531.6,764.8,841.6,1039.2,926.8,948,1005.6,869.2,832.4,756,781.6,826,828,814.4,764,743.6,680.8,620.4
"1315071389	",142.95,135.6,139.2,127.95,121.05,103.65,96.15,146.85,156.6,194.55,220.2,208.2,254.85,212.1,150.15,109.5,203.7,235.65,211.2,204.6,162,153.75,153.15,134.55
"1315071391	",138.75,133.95,129.45,122.1,120.45,142.5,132.45,142.8,152.4,205.05,231.6,334.2,256.8,257.25,197.1,177.9,180.15,228.9,242.1,239.85,199.05,165.15,155.4,151.05
"1315071423	",608,401.6,375.2,381.6,382.4,382.4,486.4,668.8,822.4,892,975.2,875.2,812,898.4,951.2,950.4,981.6,1050.4,1063.2,1108,1098.4,1038.4,978.4,860.8
"1315072137	",1950,166.5,1965.3,2020.2,1430.4,1989.6,192.9,222,2178.3,2071.8,2275.2,2205.3,2202.3,449.7,331.5,277.8,239.1,166.5,194.7,144.6,27.6,29.1,2013.3,177.3
"1315072758	",6751,6679,6647,6573,6367,5522,450,536,874,1011,934,563,733,844,761,628,678,212,274,206,135,1299,6757,6752
"1315072773	",8.4,9.2,8.1,10.8,9.5,10.9,9.9,5.8,6.7,10.8,8.1,8.4,10.4,13.3,8.3,15.2,12.5,7,8.3,8.6,15.7,17.7,15.2,9.2
"1315072929	",506.8,384.5,391.2,281.2,380.5,608.8,572.8,552.5,690.6,723.2,572,594.4,565,574.8,574.5,436.3,325.5,350.4,328.9,236.3,243.9,242.7,353.4,368.8
"1315072936	",2272,2240,2247.2,2290.4,2311.2,2268,2308,2260,2266.4,2279.2,2282.4,2268.8,2257.6,2207.2,2173.6,2145.6,2170.4,2188.8,2192,2208,2223.2,2203.2,2191.2,2173.6
"1315072968	",2332.4,2178.4,2359,2038.4,1944.6,1542.8,1401.4,1094.8,1405.6,1734.6,1521.8,1233.4,868,1500.8,1575,1960,2129.4,2147.6,2132.2,2296,2322.6,2317,2207.8,1510.6
"1315072972	",26.85,26.4,25.2,19.65,23.85,21.45,31.8,27.3,27.9,32.25,27.6,28.95,27.45,25.5,25.5,27.9,37.8,47.25,40.05,38.1,40.95,37.95,37.05,26.1
"1315073036	",2918,2944,2963,2974,2843,2937,2911,2966,2804,2974,2925,2882,2887,2903,2888,2892,2823,2849,2861,2922,2894,2908,2941,2899
"1315073038	",70.5,35.2,32.5,26,26.2,22.8,35.5,36.3,162.4,347.5,342.6,285.4,93.4,270.8,220.1,333,250.7,53.8,47.2,62.5,52.8,51.8,47.9,35
"1315073061	",645,665.7,651.6,656.1,654,645.6,641.1,668.7,748.2,846,862.8,860.7,796.8,802.5,842.7,836.1,834.9,827.7,816.6,803.7,635.1,667.8,673.5,637.8
"1315073099	",10570,10581.2,10612,10724,10623.2,10581.2,10670.8,10598,10502.8,10701.6,10707.2,10637.2,10581.2,10606.4,10612,10544.8,10584,10466.4,10726.8,10676.4,10668,10651.2,10684.8,10673.6
"1315073454	",11.16,10.44,10.44,10.44,9.96,10.68,10.44,8.4,38.4,17.04,17.28,13.02,14.04,19.14,16.32,33.06,15.24,14.16,37.68,12.18,11.7,13.86,12.18,13.26
"1315073513	",42.26,59.9,36.57,35.99,32.85,30.27,36.09,45.29,69.72,95.21,90.26,85.64,74.72,39.69,54.35,52.4,93.89,73.65,87.63,77.16,75.72,74.22,72.51,61.95
"1315073515	",21.74,25.44,22.1,22.48,29.1,29.4,47.16,47.44,43.14,44.74,44.1,36.96,28.32,39.02,41.56,40.1,27.82,24.92,21.84,22.84,28.34,24.68,32.28,21.52
"1316000121	",313.4,234.2,232.3,242,227.7,255,277.1,316.2,530,521.6,546.8,492.5,528.4,522.1,462.7,570.5,455.9,385.1,375.7,409.2,393.8,348,294.4,284.2
"1316001330	",798.9,780.75,773.85,794.4,788.85,763.35,748.8,76.2,128.7,124.95,144.3,948,780.45,945.3,864.6,931.95,79.05,10.2,20.7,12.45,13.35,511.95,650.55,741.15
"1316003732	",376.5,239.55,31.65,474.6,449.25,471.6,487.8,511.65,495.45,472.35,492.45,316.2,300.45,430.5,71.7,136.65,517.65,379.5,270.15,34.2,34.35,484.05,408.3,496.65
"1316004384	",495.9,507.9,466.6,498.2,227.7,465.7,473.2,488.2,449.4,618.1,696.5,74.4,287.2,602.9,646.4,590,511.2,566.5,454.4,65.7,62.2,484.8,528.7,535.7
"1316004394	",165.06,140.1,102.24,142.92,137.52,130.8,143.46,253.62,431.52,387.3,419.88,409.8,428.46,364.02,499.2,468.54,360.3,419.52,348.9,329.82,422.16,323.58,332.88,310.68
"1316004639	",581.1,551.4,536.4,544.8,583.8,648.3,571.5,659.1,651,648.9,555.9,613.8,487.8,475.5,489.3,590.4,619.8,603.3,611.4,608.4,606.9,620.4,590.4,582
"1316004797	",130.56,113.16,125.82,129.3,127.5,118.74,120.6,127.08,131.58,123.36,146.64,146.7,135.84,132.6,125.64,149.88,119.1,116.1,113.34,123,114.48,103.2,102.36,106.02
"1316004798	",720.45,703.8,719.85,709.2,702.45,704.4,704.55,170.4,9,6.75,12,8.85,7.8,8.55,8.7,7.05,11.85,9.15,14.4,8.4,13.05,8.4,9.9,8.55
"1316005525	",65.25,58.2,4.8,4.95,5.25,4.8,29.4,144.45,434.85,540.15,479.25,461.7,277.2,471.9,455.4,468.15,427.95,324.3,183,156.15,141.45,127.2,64.8,5.7
"1316005526	",1236.3,1187.1,1575.6,1578.6,1506.6,1551.9,1595.4,1527,1433.7,1514.4,1700.1,1586.1,1660.2,1676.1,1772.7,1803,1400.4,1370.1,1647,1715.4,1599,1640.4,1731,1753.5
"1316005704	",45.2,50,46.7,45.8,43.8,50.3,51.3,42.7,262.6,271.8,242.8,263.3,242.5,169.5,215.7,49.2,40.5,42.1,42.4,41.2,39.7,42.6,39.7,43.1
"1316006087	",51.6,51.9,63,47.7,47.1,48,69,171.3,1039.8,1407.3,819,1394.4,855.9,985.8,884.7,901.2,1000.8,255,277.8,217.2,174.3,198.6,161.4,321.9
"1316006733	",2406,3917,2927,4402,2979,3627,3205,2069,1995,441,462,467,372,389,432,1863,2511,2305,2454,2652,593,551,642,943
"1316006855	",3486.4,4398.4,4406.4,4371.2,4432,4375.2,4375.2,4362.4,4798.4,4904,4866.4,4652.8,4104.8,3964.8,4011.2,3980,4024.8,4107.2,4010.4,3856,3625.6,3620.8,3597.6,3529.6
"1316007464	",128.7,419.4,982.2,786.9,687.3,585.9,563.1,109.5,52.2,48,206.1,209.1,28.2,33.9,39.6,51.3,83.1,1181.4,1192.8,372.6,1188.9,1068.9,923.1,975.6
"1316007476	",958.5,933.9,969,949.2,988.2,910.05,904.2,933.6,988.35,924.9,897.75,989.7,945.3,928.65,902.55,994.65,965.4,909.75,940.8,961.05,970.95,893.25,915,920.1
"1316007482	",50.1,36.75,37.05,32.4,34.2,33.45,27.75,29.7,198,528.9,569.85,573,577.05,571.05,581.1,585.3,580.95,396.45,73.35,81.6,77.85,50.7,48.15,49.65
"1316007500	",1989.9,2013.6,1901.7,1980.9,1987.2,1979.4,1192.2,46.8,45.9,68.7,77.1,44.4,82.2,18.6,26.1,14.7,16.8,21,24.3,20.7,17.4,18.6,16.5,16.8
"1316007656	",19.14,26.7,26.34,19.32,18.9,18.6,19.44,15.12,10.56,10.02,11.1,13.68,10.32,9.9,10.14,10.8,10.32,11.7,12.06,13.08,12.42,12.24,11.94,12.84
"1316007657	",17.3,26.9,16.2,28,13.8,20.7,29.4,17.4,73.8,108.4,122.9,91.5,91.7,86.7,90.6,90.4,79.3,23.8,23.8,32.5,18.1,22.8,22.9,18.5
"1316007668	",33.5,14.2,13.3,42.1,33.6,15.1,14.8,15,25.1,45.6,64.1,46.1,49.6,68.6,40.5,34.8,94.1,75.7,98.1,106,104.5,69.6,22.6,21.9
"1316007677	",140.4,161.5,164.9,151.1,140,158.6,103.1,128.7,355.6,400.7,417,304.7,281.4,376.1,338.8,375.3,288,347.8,250.2,394.5,272.8,327.4,383.8,214
"1316008191	",90.24,76.92,76.56,77.7,77.7,77.82,78.48,85.98,366.9,415.56,235.74,0.9,256.5,269.88,258.9,376.2,305.58,240,126.36,159.48,156.48,87.6,4.62,4.5
"1316008219	",2959.8,2794.2,2746.8,2582.4,2592,2557.2,2559,2319,2719.2,3250.8,3098.4,3187.2,3270,3351,3231.6,2938.8,3384,3064.8,3439.8,2673,2652.6,2874,2904,2927.4
"1316008326	",248.8,255.3,290.4,250.1,268.1,307.1,304.4,308,346.8,330.3,354.6,286.9,333.8,282.5,285.1,324.9,274.1,238.2,230.1,277.4,236.3,218.9,255.2,215.7
"1316009366	",646.35,626.85,623.85,634.8,632.25,628.05,628.95,958.5,985.65,871.8,978.75,881.25,894.15,886.8,874.65,760.5,774.75,687.3,674.85,658.8,620.4,631.5,627,647.25
"1316009433	",34.05,18.45,20.85,16.35,15.3,23.85,18.75,20.7,60.45,83.25,88.35,95.25,56.4,80.85,92.85,61.2,76.95,66.3,28.2,72.45,67.05,35.55,31.8,29.4
"1316009446	",189.3,195.48,191.76,180,111.24,251.76,247.86,216.12,387.84,587.1,502.08,484.08,350.52,361.08,436.5,233.64,203.76,259.68,391.56,349.14,218.94,274.08,382.68,333.06
"1316009661	",600.2,163,106.2,71.8,23,23.2,35.8,38,924,916.8,853,326.4,192.4,244.6,173.2,147.4,124.4,27.4,30.2,18.2,19.6,14,13.2,12.2
"1316009662	",463.2,760.35,517.2,367.95,348.9,295.5,310.5,311.1,730.5,775.35,744,417.3,664.05,740.55,769.2,710.55,524.55,272.1,194.1,553.35,964.65,956.55,720.15,538.5
"1316009663	",1429.4,1408.4,1395.8,1407.2,1417.8,1377,1387.8,23.2,59.2,55.2,81,86.6,58.2,66.4,51,23.8,29.8,11,5.8,6,9.8,13,10.6,31.8
"1316009670	",184,252.8,264,239.2,232,19.2,33.6,34.4,111.2,132.8,158.4,121.6,73.6,113.6,109.6,112.8,124,82.4,59.2,56,43.2,36.8,40.8,29.6
"1316009742	",62.16,51.06,63.18,51.48,63.96,69.36,79.68,93.36,161.4,182.46,147.12,149.76,110.64,156.42,186,167.46,164.58,186.48,138.54,173.4,124.14,83.16,70.62,76.08
"1316009760	",1427,1427,1626,1433,1499,1161.5,707,1226,963,1235.5,1091,840.5,233,472,674.5,669.5,304.5,308,368.5,351,296,,1260,1249
"1316009766	",182.4,1518.6,1023.6,40.5,1502.7,1267.2,40.2,1464,205.5,91.2,202.2,159.6,87.6,51,139.8,141.6,120.3,130.2,27.9,33.3,30.6,176.1,175.2,1510.5
"1316009770	",1375.95,736.2,715.95,1342.95,1383.45,1370.7,1359.15,144.6,1393.5,254.1,246.3,194.1,233.7,192,173.1,205.5,108.15,52.5,33.15,52.35,9.6,7.95,6.75,7.65
"1316009776	",320.7,4.32,4.32,4.32,4.32,6,3.12,3.3,3.18,3.12,3.3,3.42,2.34,2.22,2.22,39.9,2.28,2.28,4.14,4.14,4.14,4.14,4.08,3.06
"1316009791	",253.65,76.2,231.45,243.45,228.15,226.65,120.45,197.55,145.8,383.25,387.3,379.2,384.9,447.15,297.6,295.35,222.15,315.9,356.1,169.5,239.1,98.1,91.65,172.5
"1316009792	",285.6,236.7,244.5,242.7,219.9,217.5,246.9,329.7,493.2,476.1,533.4,492.6,515.4,497.4,508.5,552.3,520.8,511.5,411.9,459,447.6,332.7,271.8,286.5
"1316009803	",18.9,18.6,19.5,19.5,19.5,19.2,18.6,18.3,89.7,176.7,176.1,168.9,97.2,140.1,121.2,144.9,132.6,19.5,13.5,15,15.3,17.1,15.3,14.7
"1316009943	",517.2,384,412.8,329.4,282.6,354,316.8,363.6,678,1050,1241.4,1101.6,1098.6,1073.4,1098,1086.6,1100.4,498.6,343.2,405.6,277.2,485.4,355.8,409.2
"1316010373	",1216.8,792.6,787.8,1269,1281,790.8,795.6,1270.8,1274.4,796.8,838.8,1246.2,684,1140,397.8,414.6,492,1183.2,1138.8,1200,743.4,671.4,1185,1173.6
"1316013789	",3148,2584,2966.4,3166.4,3046.4,2952,3115.2,2823.2,3078.4,3068.8,3264,3372,3066.4,2863.2,2992,3348.8,3201.6,3016,3361.6,3165.6,3232,3176,3394.4,3352.8
"1316014896	",34.2,40.2,31.8,31.2,26.7,48.6,51,60.6,141.6,148.8,197.7,145.5,145.8,110.4,151.2,116.1,192.3,132.9,101.7,62.1,76.8,51.9,75,65.1
"1316015479	",165.8,156.8,166.1,154.8,160.5,149.7,160.6,167.2,184.1,206.9,196.2,199.8,160.7,183,182.6,180,176,184.4,176.3,104.9,163.9,170,166.9,165.8
"1316016104	",1066.4,1162.4,1036,1045.2,932,890.4,569.2,464.4,880.4,1011.2,1192,457.6,815.6,902.4,1390.8,1168,903.6,1801.6,247.2,240,215.6,256.8,154,1104.4
"1316016206	",697,706.4,723.6,740.2,701,729.4,600.2,668.6,648.6,234.8,221.6,200,146,178.4,179,170.2,146.2,38.6,54.6,37.6,19,26,20,20.4
"1316017088	",48.4,38.6,43.4,46.8,44.6,37.8,46.4,52.8,155.2,616.2,1345,292.4,168.6,813.4,764,167.8,81.8,102.4,83.6,96.6,59.8,77.6,65.2,71
"1316018274	",982.5,813.3,673.2,753,649.5,889.2,749.4,721.8,1479,1292.7,1428.6,1326.9,1229.4,1495.5,1340.4,1341.9,1086.3,841.2,774,574.2,567.3,893.1,858.3,633.9
"1316019818	",953.8,961.2,956.4,953.6,959.2,953.6,954.6,954.4,972.8,973.4,977.6,982,977.8,998.8,990.8,981.6,976.8,996.8,1006.4,1006.2,985.8,996.2,1003.2,992.4
"1316020205	",1605,1609.2,1575.3,1542.9,1553.1,1596.3,1460.4,1580.1,1610.4,1673.1,1740.3,1566,1552.5,1609.8,1637.1,1638.3,1670.1,1633.2,1491.6,1576.8,1572.9,1472.1,1555.2,1531.8
"1316020332	",808.8,817.4,825.8,820.6,808.6,780.2,825.8,761.8,785.4,834.2,882,909.8,867.4,915.2,870.4,906,856.6,619.2,575.8,573,566,572.8,502,502.6
"1316022403	",291.9,202.2,175.5,260.7,186.6,188.25,154.5,6.9,6.6,7.65,5.1,5.4,5.4,9.45,6.75,4.2,4.65,5.55,5.85,5.1,5.85,6.15,5.1,7.35
"1316022864	",54.9,45.9,32.7,40.05,29.1,30.15,29.1,60.15,174.3,243,224.25,178.65,80.85,180.9,180.9,189,182.4,153.9,122.85,94.05,104.55,103.8,97.8,67.05
"1316025087	",123.6,249.6,217.8,242.7,148.5,90.9,80.4,47.7,1102.8,1638.9,1515.6,1684.2,123.3,1440.6,1663.5,1653.9,1377,880.8,652.5,522.6,370.8,374.4,264,319.2
"1316025436	",235,274.4,284.4,248.2,224.4,199.4,177.4,142.6,358.8,387.6,441,411,182.8,418.6,427,394,452,395.8,200.8,172.4,170,184,115.8,138
"1316025742	",896.1,898.8,900.9,882.6,893.7,892.5,832.8,888.9,905.7,945.3,881.4,928.5,956.1,913.8,898.2,896.7,919.2,915.6,913.2,896.4,907.2,887.7,914.4,889.8
"1316025748	",1464.8,1443.6,1433.6,1426,1416.8,1434.8,1405.2,1529.2,1643.6,1644.4,1669.6,1346.8,1266.8,1375.2,1400.4,1392,1492.4,1423.6,1353.2,1391.2,1347.6,1233.6,1228.8,1077.6
"1316027408	",49.5,47.85,28.95,41.4,30.6,34.5,83.85,45.3,48.3,48.6,34.5,49.2,64.35,36.3,32.4,30.15,30.9,77.7,63.15,71.55,76.35,85.2,48.9,46.65
"1316028562	",18.45,16.95,21.3,17.7,19.35,19.65,19.65,17.1,23.4,23.85,24.75,38.55,25.2,21,24.6,26.25,30.15,18.15,18.6,12.75,6.6,7.35,7.2,6.75
"1316029422	",2139,2182,2151,1782,2091,2156,1423,1719,1149,2125,1523,2022,1342,2061,2042,1637,2160,1897,1504,1888,1100,2059,1990,2156
"1316030365	",58.5,35.1,32.4,32.7,33,39,34.2,29.55,281.55,292.05,308.25,372.15,87.3,506.85,517.95,483,469.2,330.15,386.4,423.6,222.6,411.9,319.35,376.2
"1316030763	",192.4,252.3,383.3,265.1,236.6,192.2,149.9,271.6,304.7,404.6,333.9,422.5,313.2,288.6,362.9,309.4,316.2,347.5,365.6,358.5,348.3,398.7,293.9,250.5
"1316031390	",684.3,708.75,710.4,695.55,680.1,690,70.35,694.5,59.85,52.05,45.45,30.9,18.9,43.5,35.25,29.85,7.5,8.55,4.35,7.5,3.9,3.75,3.9,3.75
"1316033289	",322.65,344.55,247.5,336.15,237,79.05,67.8,82.5,366.45,399.9,342,547.8,513.45,534.75,464.1,417.15,467.4,495.45,438.9,351.9,346.05,354.6,295.5,298.2
"1316035826	",89.1,77.8,43.2,16.1,17.3,8.5,43.5,67.4,203.1,253.8,287.2,238.9,153.3,257.5,270.5,255.2,173.2,225.1,158.3,137.2,131.4,108.1,150.6,116
"1316040123	",206.1,159.9,139.2,94.5,34.5,42.9,57.9,45,201.6,225.6,252,200.7,224.7,210.3,221.1,220.5,210.9,130.5,63.9,68.7,59.1,63,60,74.1
"1316040126	",84.1,73.4,45.5,78.3,79.2,89.9,42.6,1.9,5.8,2.4,2.3,5.3,5.1,5.3,4.1,2.7,4.6,2.6,3,3.2,5,5.7,5.6,2.5
"1316046395	",14.4,16.5,16.35,16.2,15.75,15,15.75,15.75,15.15,14.25,16.35,20.7,9.75,9.75,9.75,10.05,11.55,21.45,11.55,12.6,13.5,16.65,14.25,13.65
"1316046407	",264.45,274.65,271.8,262.05,280.2,274.35,137.4,184.5,242.7,287.4,314.85,293.4,256.2,258.9,202.8,221.55,308.25,237.3,184.8,230.55,184.5,200.1,179.25,172.95
"1316046670	",112.8,124.5,91.8,96.15,109.35,127.2,157.95,173.55,150.9,237.9,188.25,210.15,201.75,180.15,182.55,190.35,168.3,190.8,200.4,195.45,164.55,129,134.85,119.4
"1316046984	",3261.6,3076,3148.8,3302.4,3044,2720,2673.6,2581.6,2738.4,2687.2,2648.8,2733.6,2728,2726.4,2828.8,2887.2,2770.4,2721.6,2695.2,2760,2834.4,2708.8,2807.2,2706.4
"1316047038	",2227.5,2193.6,1530.3,2281.2,2101.5,2108.7,1500.9,1538.7,861,140.7,100.2,84.9,394.8,383.7,386.1,195,140.1,4.5,8.4,4.8,15.3,45,813.3,1428.6
"1316048547	",49.1,37,55,24.3,18,32.4,12.2,51.7,114.4,179.3,198.2,168.6,110.2,110.8,143.6,178.7,144.1,84.6,49.7,38.4,30.5,30.6,27.2,48.6
"1316050598	",121.7,116.9,142.9,101,129.8,190.4,140.8,147.8,87.8,159,170.6,212.9,173.6,187.1,140.6,141.5,126.5,81.1,236.3,231.4,98.1,192.7,108.8,138.9
