户号,00点(kW),01点(kW),02点(kW),03点(kW),04点(kW),05点(kW),06点(kW),07点(kW),08点(kW),09点(kW),10点(kW),11点(kW),12点(kW),13点(kW),14点(kW),15点(kW),16点(kW),17点(kW),18点(kW),19点(kW),20点(kW),21点(kW),22点(kW),23点(kW)
"1315002229	",615.6,614.6,602.8,602.8,633,619.6,621.4,612.4,608.6,625.8,617.2,626.6,602.6,629.6,618,613.8,622.6,611.6,604.4,595.2,605.2,604.4,647.6,624.2
"1315002237	",265.62,268.38,268.38,268.8,268.86,276.18,274.68,254.34,258.48,317.4,393.3,394.14,396.72,398.58,405.9,403.8,369.36,384.6,387.9,344.82,387.18,388.44,387.18,383.16
"1315002262	",165,171.6,166.8,175.2,134.4,143.4,238.2,519,1840.2,2376.6,2679.6,842.4,888.6,2323.8,2275.2,2073,2580,786,1050.6,438.6,396.6,277.8,253.2,204.6
"1315002314	",216,218.4,227.25,233.1,217.95,191.1,199.8,106.8,438.6,380.25,289.5,216.9,238.35,135.3,156.45,84,8.1,5.85,10.95,8.25,11.85,10.05,9.75,9.9
"1315002507	",191.76,197.94,193.92,194.1,195.66,229.62,201.06,243.9,248.52,208.68,195.36,235.8,218.76,177.9,176.22,176.16,162.72,191.22,160.38,148.02,145.86,175.26,236.46,208.02
"1315002528	",316.14,316.92,313.56,320.4,317.76,314.4,312.66,324.9,429.84,489.66,449.76,373.38,451.56,454.62,412.32,390.12,397.92,341.04,445.74,339.66,333.18,337.68,331.92,327.3
"1315002535	",308.34,285.72,296.4,276.18,275.4,271.62,276.24,241.74,304.74,306.6,325.62,261.96,171.18,155.58,152.52,163.5,166.32,97.44,100.86,72.6,69.12,68.04,66.96,287.46
"1315002637	",140.4,118.8,108.3,107.4,99.9,102.9,116.4,145.5,313.2,350.4,384.3,288.6,246,291.9,303.3,249.6,335.4,224.1,205.5,189.3,198.9,200.7,177.3,151.2
"1315002654	",8.73,6.14,4.16,7.29,5.85,2.1,7.73,8.25,8.78,6.14,7.23,8.66,7.26,5.45,7.2,6.44,0.86,8.18,4.31,1.14,2.6,3.69,3.06,2.43
"1315002681	",27.72,18.66,18.54,20.34,13.14,13.62,17.16,12.36,46.32,78.9,112.02,140.58,63.36,88.86,93.48,111.36,120,112.08,55.14,55.38,47.1,35.34,30.24,29.82
"1315002682	",1467.3,1433.1,1462.8,1419,1435.5,1521.3,1408.5,1432.8,1468.8,1432.8,1434.6,1431.3,1433.1,1470.6,1424.7,1457.1,1486.2,1421.4,1456.2,1453.2,1487.7,1490.7,1452,1472.1
"1315002809	",147,96.24,97.44,94.02,78.42,127.56,177.12,113.58,113.94,326.04,369.66,239.64,258.78,229.44,220.26,224.7,312.48,148.26,104.46,251.16,175.26,224.04,232.74,188.34
"1315002830	",264.8,262.3,268.8,267.8,259,262,312.1,369.7,395.9,427.9,444.8,438.5,428.5,401.5,394.7,387.4,408.1,403.4,391.5,391.6,398.4,389.7,396,386.9
"1315002924	",23.4,16.2,17.2,17,17,15,10.2,21.6,29.4,32.4,38.4,39.4,24.4,40,35.4,39.2,49.4,22,23.2,23.8,24.6,20.4,20.4,15.2
"1315002925	",2,1.8,1.8,2,2,2,2,1.8,2,3.4,3.4,2,3.8,2,2,2,3.6,4.4,2,2,2,2,2,2
"1315002929	",79.8,74.8,99.2,49.6,70.4,84.4,64.4,44,254,715.6,706.4,552.8,324,588.4,726.8,645.8,489.6,394.6,173,149.2,109.6,75.6,90,26.2
"1315002941	",587.4,934.5,1020.75,849.75,1050.9,981,46.65,25.95,111,99.15,163.8,71.1,73.5,95.85,137.7,185.4,115.8,121.5,87,64.05,43.35,40.35,37.2,1117.65
"1315002953	",1319,1280,1266,1261,1361,1171,1222,1262,1114,1108,1218,1301,992,1152,1018,1154,1030,809,760,731,702,718,776,755
"1315002954	",56.55,52.95,52.8,78.75,73.05,71.85,75.45,87.15,96.9,64.35,81.45,78.45,58.35,59.1,78,63.9,74.55,74.55,77.1,118.2,125.1,121.65,120.15,106.35
"1315002968	",1695.6,1623.6,1719,1722.9,1695.3,1645.8,1663.2,1561.2,1637.7,1693.2,1738.8,1622.1,1645.8,1744.5,1735.2,1728.3,1644.6,1532.1,1398.6,1376.1,1489.5,1441.5,1449.9,1652.7
"1315002970	",699.9,805.8,733.35,745.5,650.55,806.25,791.4,794.25,967.5,1169.25,1149.6,966.75,879.15,1004.25,1239,951.45,1096.95,767.4,706.05,713.55,784.05,634.8,719.25,754.8
"1315002994	",7.05,6.75,6.75,4.2,5.4,4.35,5.4,43.2,135.45,117.3,129.45,86.4,87.9,113.55,108.9,113.1,75.45,97.2,66.15,13.8,13.95,16.8,17.1,12.75
"1315003004	",261.3,234.78,217.08,212.4,213.84,206.82,233.58,257.58,347.34,321.54,379.86,337.5,327.24,324.18,312.12,284.1,292.98,318.24,355.44,255.48,252.48,238.38,264.66,268.62
"1315003005	",308.76,300.42,276.06,282.18,274.74,268.8,317.28,289.26,395.16,384.54,429.3,447.72,366.36,374.76,396.42,376.56,374.7,370.14,409.2,344.52,303.6,296.22,325.8,303.6
"1315003116	",9.3,9.1,9,9.3,9.3,9.5,9.1,5.2,15.5,27.9,30.7,20.9,21.3,17.3,8.2,13.5,8.6,3.6,8,9.4,9.3,9.4,8.9,9
"1315003172	",57,66.3,68.5,84.2,79.6,74.6,70.1,320.9,333.2,274.3,152.5,77.6,70.8,59.1,48.4,43.5,33.4,42.9,34.3,37.2,30.1,32.8,31.7,40.7
"1315003173	",170.6,157.5,159.7,136.1,132.5,155.3,143.5,138.3,129.4,178.3,178.3,194.3,180.1,170.5,173.5,162.4,171.4,147.7,134.7,158.2,145.3,144.8,170.4,107.4
"1315003212	",379.5,363.75,365.55,360.3,377.4,381.45,370.8,373.95,389.1,388.65,368.1,362.1,382.95,352.5,378.6,375.75,378.3,372.15,355.5,355.65,386.25,371.25,376.05,358.8
"1315003236	",611.4,615,639.4,576.4,551.8,667.8,612.4,563.8,533.2,545.2,570.8,506.6,503.2,512,609,591,617.2,620,610.8,480.2,587.6,539.4,536.8,526.6
"1315003258	",204.42,185.34,183.78,140.1,177.72,142.14,97.38,129.06,248.82,284.46,271.26,244.14,190.56,177.36,219.12,208.86,208.2,236.58,209.88,195.06,184.32,218.46,126.54,129.18
"1315013416	",165.2,300,204,186.2,187.6,304.4,231.6,237.8,763.2,1063.4,1100.2,909.4,659,936.8,731,768,557.8,513.4,484.8,546,212.4,150.2,251.2,237.6
"1315013421	",257.85,264.75,261,291.45,283.8,272.55,244.95,240.45,270.45,266.25,253.5,237.3,253.65,264.15,261.6,287.4,271.35,263.25,265.5,260.25,257.25,261.3,255.3,285
"1315013569	",564.6,568.8,596.7,570.3,603.6,581.7,591,672.3,711.6,677.1,699.9,681.9,615,674.7,634.5,682.8,639.3,592.2,612.6,592.2,593.4,591.9,619.2,573
"1315013740	",3.8,4.8,4.2,3.8,3.6,3.8,3.4,4.2,78.2,109.6,102.2,98.8,33.4,85.4,101.8,99.2,94,24,3.6,4,4,3.6,14.4,21.8
"1315013776	",1373,1355.2,1384.4,1426.6,1543.2,1585.8,1207.4,1412,1554.8,1341.8,1142.4,1085.6,1017.6,1044.2,1044.8,1103.4,1022.2,1004,973.6,1070.2,1112.8,1111.2,1097.6,1114.2
"1315013792	",96.36,77.66,60.65,56.67,47.58,49.56,56.4,77.51,138.17,116.4,119.25,131.06,138.32,120.17,84.3,94.38,91.85,126.12,127.88,129.99,,139.05,139.61,117.56
"1315013792	",88.3,91.2,71.7,64.8,56.3,56.6,67.4,82,154.1,128.7,137.8,159.7,159.3,140.6,111.3,121.2,114.7,152.6,152.7,155,145,158.8,147.5,132.1
"1315013806	",15.9,17.04,15.72,14.1,12.84,12.78,13.26,24.3,69.9,76.2,87.84,87.24,58.62,68.22,49.02,60.3,83.46,45.12,18.42,31.74,27.42,14.28,13.32,17.22
"1315013861	",641.25,639.9,673.8,644.7,633,636.45,672.45,646.35,642.3,640.95,663.6,648.6,641.4,641.1,645.75,641.7,631.2,642,631.5,634.65,635.85,669.6,642.45,673.2
"1315013895	",1055.55,1109.4,1058.4,1034.4,1126.35,1070.1,1037.4,1111.35,1081.65,1105.8,1025.4,1048.2,1033.2,1044.45,1005.3,1030.2,1034.25,1053.3,1076.1,1074.75,1049.1,1062.6,1114.35,1099.05
"1315013933	",930,1040.8,1012.4,1028,970.4,927.2,1039.2,967.2,1055.2,1063.6,1006.4,996,984.4,1068.4,982,1056.8,1042,961.2,934.4,926.8,944,934.8,929.2,936.4
"1315014308	",627.9,621.6,623.7,626.85,626.85,624.75,625.8,1183.35,1177.05,1180.2,1185.45,1182.3,1189.65,1182.3,1178.1,1177.05,1178.1,1181.25,1183.35,631.05,625.8,622.65,623.7,627.9
"1315014308	",644.7,655.2,649.95,661.5,649.95,655.2,658.35,645.75,651,654.15,649.95,926.1,938.7,927.15,931.35,924,949.2,943.95,942.9,934.5,938.7,930.3,659.4,645.75
"1315014315	",282.72,252.48,201.24,212.7,254.1,220.14,216.3,263.82,435.24,574.98,618.3,736.2,524.22,609.96,556.74,613.5,,456.42,405.96,325.08,224.28,179.46,109.14,87
"1315016869	",241.44,245.7,249.72,225.54,219,250.92,333.78,293.58,373.92,378.78,341.88,359.16,292.38,295.26,300.84,348.24,282.96,281.64,336.72,297.42,295.26,257.16,261.12,270.3
"1315016877	",249.72,239.46,258.96,226.98,301.08,301.2,295.44,292.2,301.38,323.04,309.48,290.76,300.84,301.92,199.38,210.12,209.58,209.1,208.14,190.98,158.4,199.32,284.34,252.06
"1315016937	",1515.6,1475.4,1425.9,1408.8,1414.5,1409.7,1400.7,1287.3,1438.8,1452.6,1438.5,1254.9,1323.3,1358.1,1363.8,1322.1,1178.4,1158,1170,1077.3,1309.5,1370.7,1320.3,1425
"1315018011	",1247.2,1230.4,1244.8,718,1262,1259.6,1263.6,1298,1308,1308,1297.2,1308.8,1207.6,1283.6,1278.4,1278.8,1312.8,1302.8,1334.8,1314.8,1329.6,1352.4,1329.2,1308.4
"1315022035	",949.8,946.6,936.8,924.8,948.2,943.4,966,971.6,935.8,1004.4,968.4,952,963.6,952.4,953.4,959.2,941.4,942,946,932.4,961.8,948.4,955.2,969.2
"1315022136	",215.7,224.25,214.2,185.1,234,260.4,233.25,263.25,292.35,277.2,262.8,297.3,240.6,256.05,209.55,236.7,277.5,188.1,255.3,192.15,253.35,261.15,250.95,195.15
"1315023221	",3399.2,3228.8,3459.2,3466.4,3368.8,3387.2,3500.8,3260.8,3260.8,3529.6,3508.8,3381.6,3362.4,3322.4,3377.6,3545.6,3456.8,3310.4,3471.2,3343.2,3430.4,3280.8,3335.2,3548
"1315025213	",396.66,400.32,405.36,396.6,384,386.7,392.7,401.16,400.92,394.86,384.36,396,399.84,378.96,387.18,390.48,414.42,395.1,394.62,384.18,395.88,414.36,405,391.02
"1315025389	",232.02,178.5,253.54,288.93,227.92,241.33,266.32,332.94,361.89,356.66,434.85,401.92,394.74,395.65,344.03,347.25,314.19,371.04,276.5,352.51,303.34,301.57,301.49,277.44
"1315025455	",2705.4,2620.8,2488.2,2539.8,2532,2546.4,2782.2,2547.6,2645.4,2907.6,2766,2960.4,2764.2,2764.8,2830.8,2803.2,2903.4,2973.6,2925.6,2721.6,2744.4,2835,2743.8,2422.8
"1315025924	",1640.4,1654,1598.4,1647.2,1678.8,1629.2,1645.2,1646,1576.4,1670.4,1687.6,1658.8,1651.2,1676,1752.4,1769.2,1760.8,1721.2,1723.2,1726.8,1807.2,1699.6,1796,1739.2
"1315026027	",209.88,202.68,217.92,216.84,218.4,223.56,196.26,205.74,188.58,77.22,79.98,117.3,164.16,176.4,190.74,194.64,193.8,179.4,206.52,208.44,196.62,198.06,207.24,218.58
"1315026204	",590.7,618.4,606.9,621,612.1,593.9,599.7,624.1,633.3,619.9,647.8,631.4,629.2,601.8,612.7,590.4,619.9,613.8,610.5,587.1,622.6,615.7,618.5,607
"1315026271	",685.65,673.5,681.45,674.85,657.15,692.7,724.95,689.25,666.6,703.2,727.95,685.95,684.6,692.4,684.6,680.7,702,670.2,641.7,698.7,685.8,746.85,677.85,683.4
"1315026373	",489.18,542.28,400.08,398.58,409.92,428.28,416.52,431.52,518.34,617.04,573.18,587.64,545.52,549.42,565.56,561.12,579.96,486.18,410.1,416.7,416.94,380.34,401.58,403.56
"1315026861	",326.34,334.56,338.1,324.06,309.6,335.4,316.38,307.56,363.06,383.28,405.36,407.34,389.52,377.82,412.14,415.56,420.6,407.28,437.1,399.3,365.88,326.58,334.98,328.68
"1315026895	",442.44,442.62,431.64,459.96,422.4,449.88,413.82,427.68,441.18,488.76,443.4,481.62,447.84,459.66,432.6,481.5,459,452.22,440.46,431.94,430.44,446.7,460.8,455.7
"1315027353	",357.3,381.6,330.48,374.1,373.08,362.52,367.44,362.94,343.5,352.26,345.78,373.32,337.98,351.66,352.8,348.3,364.74,371.82,351.06,332.82,357.66,338.94,337.26,338.04
"1315027372	",14737.8,14775.6,14695.8,14641.2,14632.8,14792.4,14620.2,14729.4,14855.4,15107.4,14905.8,14658,14889,14691.6,14859.6,14876.4,14922.6,14872.2,14863.8,14905.8,14998.2,14989.8,14645.4,14645.4
"1315027372	",12159,12226.2,12285,12255.6,12230.4,12167.4,11907,11919.6,12087.6,12154.8,12108.6,12121.2,12054,12138,12222,12129.6,12091.8,12062.4,12041.4,12083.4,12142.2,12117,11961.6,11928
"1315027573	",12.3,9.8,11.9,11.1,11.9,9.7,8.1,30.1,33.2,98.7,126.1,78.8,72.3,57.3,83.9,112.5,69.2,86.8,29.8,19.7,21.1,31.2,22.3,21.3
"1315027801	",476.1,521.88,497.1,511.74,480.84,491.82,528.96,508.98,490.5,486.24,486.42,476.7,506.16,518.58,523.92,492.12,496.26,505.2,507.3,512.16,496.38,503.22,474.36,493.8
"1315028188	",106.6,105.6,74.6,78.8,75.8,80,84.2,108,120.2,148.8,143.8,130,111.8,103,94.2,111.4,92.4,150,220.4,195.8,177.2,192.4,170,140.6
"1315028485	",181.8,164.4,99.3,104.7,121.5,88.2,90.3,93.3,225.6,430.5,443.4,379.2,288.6,363.6,474.3,473.7,459.3,426.6,371.7,185.4,147.9,147,148.5,159.6
"1315028512	",309.3,240.6,276,268.8,222.7,178.1,271.3,184.8,118.5,320.5,250.6,341,241.1,225.8,328.6,238.6,278,137.2,228,315.8,239.1,311.2,292.5,269.6
"1315028525	",743.1,729.6,736.4,733.4,731.3,734.3,744.6,740.6,737.4,735.7,740.5,739.3,708.4,723.3,731.1,733.9,743,731.6,731.8,743.6,741.2,733.5,737.5,739.7
"1315028526	",240.6,143.4,84,105.1,58.7,85.3,175.2,209.1,333.7,251.9,233,145.8,162.6,212.9,121.9,128.8,41.2,132.9,84.3,178.1,99.7,77.5,79.9,148.4
"1315028529	",31.38,21.84,19.68,17.88,12.84,18.54,11.52,15.06,22.8,36.54,26.16,35.28,39.42,33.66,41.88,23.94,28.5,40.86,41.94,45.06,57.96,37.44,37.98,44.76
"1315028538	",560.1,472.5,501.1,512.3,519.2,236.5,237.4,158.4,155.8,149.5,171.9,193.9,147.9,140.2,173.1,167.8,149.8,144.6,156.9,152.7,167,165.2,224.1,299.7
"1315028791	",604.95,694.2,664.5,695.4,638.4,665.7,696.45,611.55,633.45,532.65,695.55,633.9,651.15,588.15,621.6,670.35,667.95,699.9,625.65,645,690.9,661.65,583.95,605.7
"1315028792	",441.66,467.52,437.7,447.6,455.46,448.44,459.36,456.24,449.04,451.92,473.34,445.68,439.44,459.48,467.52,426.18,458.58,453.9,438.36,451.38,449.22,426.72,463.44,438.96
"1315029369	",128.7,94.9,96.7,85.2,96.2,94.4,94,109.6,93.5,55.1,64.8,71.3,59.6,56.4,70.2,59.5,60.8,77.9,50.6,55.6,38.6,40.9,120.4,76.1
"1315029431	",338.34,301.8,309.3,324.06,331.92,334.26,338.1,370.14,372.84,352.86,396.12,307.92,339.96,285.9,290.64,278.34,295.38,305.82,274.86,245.1,230.58,221.58,318,387.96
"1315061741	",42.6,39.4,113.2,42.6,80.6,39,72.2,44.2,216.4,197.2,286.8,205,196.4,198.4,185.8,157.8,170.8,79.2,67,63.8,57.6,57,38.8,31.4
"1315062093	",675.2,675.4,627.2,635,653.2,642.2,680,669.8,697,674.2,688.2,687.4,694.6,695,353.2,518.8,604,648,619.4,643.4,628.2,657,616.8,614.8
"1315062094	",134.85,123.9,115.95,133.5,121.5,125.1,157.95,147.9,297.45,329.7,334.8,253.35,237.6,316.05,339.3,273.15,295.95,253.95,291.75,276.75,292.5,258.45,195.3,160.65
"1315062273	",528.78,496.14,498.06,497.64,508.8,489.48,518.52,529.98,525.9,514.8,515.04,552.96,511.74,509.1,517.08,521.46,551.58,537.96,493.56,515.82,535.68,550.38,529.14,491.04
"1315062735	",184.1,96.1,255.1,155,136,177.8,187.5,121.5,246.6,321.7,338.6,187.8,173.8,191.9,256.8,181.8,102.7,223.1,89.4,112.5,82.9,137.8,111,80.3
"1315062755	",30.74,25.4,24.38,31.5,26.2,23.64,54.58,54.22,51.66,37.06,43.62,47.6,33.84,46.84,35.3,36.72,36.32,42.86,71.24,68.86,43.18,36.54,47.74,35.66
"1315062768	",540.48,491.76,551.52,468.06,505.98,524.94,517.26,391.2,540.84,552.54,582.78,534.3,543.12,540.48,520.44,530.58,577.2,558.36,521.22,413.4,557.46,530.1,512.94,493.92
"1315062831	",547.38,529.8,527.76,544.8,530.04,548.7,533.52,534.18,542.34,542.64,552.78,538.14,531.06,547.92,544.26,532.5,536.76,528.6,525.9,539.82,531.42,536.94,531.6,527.94
"1315062917	",1723.6,1734,1780,1711.2,1710.8,1783.6,1560.8,1535.2,1565.6,1834.8,1736,1793.2,1771.6,1767.2,1838.4,1799.2,1821.2,1865.2,1836.8,1580.8,1633.2,1723.6,1717.6,1798
"1315062941	",4192.8,4242.4,4222.4,4196,4179.2,4182.4,3988.8,3747.2,4219.2,4358.4,4317.6,4368.8,4273.6,4322.4,4148.8,4075.2,4255.2,4342.4,4191.2,4204,4226.4,4234.4,4103.2,4139.2
"1315062964	",2587,2506,2505.5,2616,2538.5,2475,2415,2417,2543.5,2432.5,2603.5,2512,2628,2545.5,2646.5,2658,2405,2372.5,2265,2458.5,2360.5,2311,2488.5,2460
"1315063155	",952.05,945.15,938.25,957.9,972.3,997.2,979.65,967.2,1009.05,944.1,957.3,972.3,974.25,946.5,924.15,955.35,960,925.65,935.25,931.95,975.6,962.4,957,943.05
"1315063283	",1245.6,1283.4,1228.8,1279.8,1418.4,1230,1221.6,1391.4,1292.4,1351.2,1158.6,1476,1570.8,1426.8,1379.4,1569.6,1495.2,1361.4,1272,1504.2,1553.4,1461.6,1558.8,1372.8
"1315063284	",431.6,409.2,412,412,407.2,434.8,425.2,418.4,442.8,469.6,472.4,461.6,432,436.4,462.4,458.4,438.8,432.4,426,427.2,453.2,450.4,434.4,460
"1315064127	",20,23.2,16.2,18.2,13.5,20.7,17.8,17.6,26.8,23.1,18.7,17.3,15.3,18.5,16,15.6,17.2,21.5,26.4,29,26.6,24.3,26.8,27.1
"1315064144	",3,3,10.1,4.5,12.2,11.3,4,6.8,4.3,13.4,15.4,14.9,10.4,9.8,10,10.3,9.6,4.5,9.6,12.4,4.3,4.3,4.4,4.2
"1315064513	",34.14,27.3,26.28,32.88,25.8,21.9,22.68,33.9,73.14,91.5,93.96,77.64,52.26,74.34,74.22,69.72,72.24,62.04,37.08,28.44,25.08,28.98,21.42,17.52
"1315065003	",4592,4410,2332.4,4232.2,4501,4641,4569.6,4604.6,4853.8,480.2,561.4,399,494.2,421.4,450.8,469,425.6,257.6,240.8,141.4,127.4,102.2,4368,4299.4
"1315065005	",2124,2111.4,2070.6,2061.6,2104.8,2070,2118.6,2114.4,2397.6,286.2,382.8,186.6,142.2,328.8,276.6,193.2,283.8,96,51,80.4,90,73.2,1884.6,2064
